"id","name","gender","gender_probability","age","age_group","country_id","country_name","country_probability"
"019db3df-857e-718a-8aff-96a0811ea107","awino hassan","female",0.66,68,"senior","TZ","Tanzania",0.6
"019db3df-8580-750a-8c93-eb6f4448089a","elizabeth harris","female",0.77,32,"adult","IN","India",0.11
"019db3df-8580-750a-8c94-0bda5ebf557d","tanaka khumalo","male",0.9,24,"adult","ZA","South Africa",0.5
"019db3df-8580-750a-8c94-0e7aed3b7bbd","thandiwe dube","female",0.81,15,"teenager","AO","Angola",0.52
"019db3df-8580-750a-8c94-2708db70f93a","tadesse achieng","male",0.83,34,"adult","UG","Uganda",0.49
"019db3df-8580-750a-8c94-337ec1015ab7","carol green","female",0.81,55,"adult","GB","United Kingdom",0.65
"019db3df-8580-750a-8c94-3821a8194e7f","nomsa ouma","female",0.94,42,"adult","UG","Uganda",0.31
"019db3df-8580-750a-8c94-3cf54c483dc0","sadiya awino","female",0.7,17,"teenager","TZ","Tanzania",0.24
"019db3df-8580-750a-8c94-488169f5dd0b","adaeze coulibaly","female",0.73,41,"adult","NG","Nigeria",0.6
"019db3df-8580-750a-8c94-4c61c4234a0a","adhiambo mnguni","female",0.79,83,"senior","KE","Kenya",0.47
"019db3df-8580-750a-8c94-50fd3bc257e7","maame kaboré","female",0.8,56,"adult","SN","Senegal",0.29
"019db3df-8580-750a-8c94-65d47b5de90b","laila saidi","female",0.66,52,"adult","SD","Sudan",0.57
"019db3df-8580-750a-8c94-72530d5f9ee1","kunle gbessi","male",0.84,61,"senior","CI","Côte d'Ivoire",0.72
"019db3df-8580-750a-8c94-8a1f50a5187a","zodwa bekele","female",0.81,36,"adult","MW","Malawi",0.95
"019db3df-8580-750a-8c94-9128a8d7f92d","kunle zinsou","male",0.73,10,"child","ML","Mali",0.94
"019db3df-8580-750a-8c94-ac0ef0ae9f95","rokhaya konaté","female",0.76,17,"teenager","NG","Nigeria",0.53
"019db3df-8580-750a-8c94-be7e108abc4f","assata touré","female",0.83,29,"adult","GH","Ghana",0.27
"019db3df-8580-750a-8c94-d1b356a12d02","akua konaté","female",0.9,77,"senior","BJ","Benin",0.72
"019db3df-8580-750a-8c94-d66fe2c91857","jacques obiang","male",0.83,88,"senior","CD","DR Congo",0.88
"019db3df-8580-750a-8c94-f79e77c5fbd1","ndéye agyei","female",0.91,66,"senior","SN","Senegal",0.72
"019db3df-8580-750a-8c95-09e23c87c003","mengistu mengistu","male",0.75,43,"adult","UG","Uganda",0.56
"019db3df-8580-750a-8c95-1694805ab7d5","thandeka dlamini","female",0.91,5,"child","BW","Botswana",0.6
"019db3df-8580-750a-8c95-2fce95a47e36","mekdes tadesse","female",0.97,20,"adult","MZ","Mozambique",0.55
"019db3df-8580-750a-8c95-407ace4759e4","akosua darko","female",0.7,72,"senior","NG","Nigeria",0.72
"019db3df-8580-750a-8c95-52791546177e","gary hill","male",0.96,48,"adult","GB","United Kingdom",0.78
"019db3df-8580-750a-8c95-5e2e040bcf5b","kimberly hill","female",0.82,21,"adult","US","United States",0.29
"019db3df-8580-750a-8c95-6a29c7610712","nabil amrani","male",0.69,47,"adult","MA","Morocco",0.3
"019db3df-8580-750a-8c95-7d75ead4f2b7","adhiambo farah","female",0.79,10,"child","BI","Burundi",0.6
"019db3df-8580-750a-8c95-9223ce5a5e0e","farah desta","male",0.99,18,"teenager","KE","Kenya",0.7
"019db3df-8580-750a-8c95-9e507958ac28","amira alaoui","female",0.66,66,"senior","TN","Tunisia",0.15
"019db3df-8580-750a-8c95-b6421ed42b19","bintou segla","female",0.83,69,"senior","NG","Nigeria",0.62
"019db3df-8580-750a-8c95-bc62d540f085","aster ndlovu","female",0.82,13,"teenager","MU","Mauritius",0.44
"019db3df-8580-750a-8c95-c66fec090bda","yaa compaoré","female",0.85,32,"adult","MR","Mauritania",0.15
"019db3df-8580-750a-8c95-d928d04f6604","joy sow","female",0.81,17,"teenager","ML","Mali",0.2
"019db3df-8580-750a-8c95-e3c409eb381e","thomas white","male",0.69,20,"adult","IN","India",0.73
"019db3df-8580-750a-8c96-08cc88fbfd5c","honorine sow","female",0.74,78,"senior","NG","Nigeria",0.47
"019db3df-8581-704a-b307-390c5a59e0a6","clarisse tchalla","female",0.66,26,"adult","SN","Senegal",0.1
"019db3df-8581-704a-b307-50ce3a83bcce","simba moyo","male",0.89,84,"senior","ZA","South Africa",0.63
"019db3df-8581-704a-b307-688caf8c8dd0","stephanie adams","female",0.75,34,"adult","FR","France",0.47
"019db3df-8581-704a-b307-a7e9442796c3","girma ahmed","male",0.96,6,"child","ET","Ethiopia",0.12
"019db3df-8581-704a-b307-db2eb6777c5a","zanele mpofu","female",0.91,33,"adult","SZ","Eswatini",0.59
"019db3df-8581-704a-b307-ea8b4b0e05fb","fanta osei","female",0.88,51,"adult","SN","Senegal",0.42
"019db3df-8581-704a-b307-ee5af74a81c1","cheikh zongo","male",0.95,81,"senior","NG","Nigeria",0.14
